key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-consumer-03,true,"UserIdentity{name: 'Manolo', surname: '之乎路可良 ᏥᏲᏎᎭ', email: 'manolo@acme.com'}",consumer3,consumer3
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-provider-03,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",provider3,provider3
user-account-agent-01,true,"UserIdentity{name: 'Pablo', surname: 'Bermudez', email: 'pabberima@acme.com'}",agent1,agent1
user-account-agent-02,true,"UserIdentity{name: 'Perico', surname: 'ଜିପ୍ସୀ |', email: 'perico@gmail.com'}",agent2,agent2
user-account-agent-03,true,"UserIdentity{name: 'Manager', surname: 'cerotres', email: 'manager3@acme.com'}",manager3,manager3
user-account-manager-01,true,"UserIdentity{name: 'Alejandro', surname: 'Manager', email: 'alejandro@acme.com'}",manager1,manager1
user-account-manager-02,true,"UserIdentity{name: 'โลเร็ม อิปซัม', surname: 'Thai', email: 'โลเร็ม อิปซัม@acme.com'}",manager2,manager2
user-account-managerr-03,true,"UserIdentity{name: '洛伦·伊普森', surname: 'Chinese', email: '洛伦·伊普森@acme.com'}",manager3,manager3
user-account-member-01,true,"UserIdentity{name: 'Jose', surname: 'Esteve', email: 'joseesteve@acme.com'}",member1,member1
user-account-member-02,true,"UserIdentity{name: 'Carlos', surname: 'Diaz', email: 'carlosdiaz@acme.com'}",member2,member2
user-account-member-03,true,"UserIdentity{name: 'Monica', surname: 'Regidor', email: 'monicaregidor@acme.com'}",member3,member3
user-account-member-04,true,"UserIdentity{name: 'Carolina', surname: 'Maduro', email: 'carolinamaduro@acme.com'}",member4,member4
user-account-member-05,true,"UserIdentity{name: 'Lidia', surname: 'Segura', email: 'lidiasegura@acme.com'}",member,member

